0.063, 0.507, 0.773, 0.793, 0.688, 
0.363, 0.047, 0.825, 0.056, 0.89, 
0.455, 0.229, 0.866, 0.128, 0.315, 
0.81, 0.057, 0.033, 0.42, 0.667, 
0.96, 0.076, 0.876, 0.188, 0.927, 
0.232, 0.664, 0.816, 0.687, 0.463, 
0.795, 0.243, 0.001, 0.584, 0.084, 
0.93, 0.289, 0.311, 0.953, 0.513, 
0.649, 0.808, 0.435, 0.093, 0.475, 
0.252, 0.867, 0.804, 0.302, 0.835, 
0.542, 0.042, 0.613, 0.795, 0.989, 
0.374, 0.509, 0.351, 0.912, 0.564, 
0.262, 0.22, 0.709, 0.763, 0.539, 
0.352, 0.835, 0.977, 0.013, 0.643, 
0.915, 0.014, 0.013, 0.107, 0.329, 
0.639, 0.593, 0.57, 0.288, 0.996, 
0.857, 0.835, 0.06, 0.932, 0.594, 
0.382, 0.58, 0.367, 0.818, 0.775, 
0.479, 0.733, 0.229, 0.541, 0.013, 
0.773, 0.992, 0.37, 0.77, 0.968, 
0.26, 0.351, 0.543, 0.927, 0.454, 
0.066, 0.042, 0.665, 0.94, 0.81, 
0.511, 0.698, 0.442, 0.066, 0.303, 
0.633, 0.669, 0.492, 0.407, 0.993, 
0.72, 0.872, 0.612, 0.843, 0.598, 
0.973, 0.11, 0.193, 0.487, 0.607, 
0.41, 0.765, 0.166, 0.754, 0.677, 
0.459, 0.09, 0.214, 0.861, 0.573, 
0.508, 0.491, 0.706, 0.206, 0.128, 
0.663, 0.981, 0.809, 0.344, 0.342, 
0.856, 0.219, 0.429, 0.721, 0.103, 
0.71, 0.807, 0.242, 0.861, 0.159, 
0.807, 0.67, 0.586, 0.53, 0.603, 
0.66, 0.779, 0.876, 0.466, 0.878, 
0.85, 0.13, 0.488, 0.158, 0.664, 
0.496, 0.876, 0.475, 0.584, 0.188, 
0.089, 0.331, 0.238, 0.765, 0.514, 
0.739, 0.52, 0.982, 0.569, 0.941, 
0.292, 0.791, 0.089, 0.345, 0.674, 
0.558, 0.946, 0.903, 0.779, 0.585, 
0.942, 0.867, 0.386, 0.399, 0.114, 
0.61, 0.642, 0.528, 0.534, 0.453, 
0.376, 0.331, 0.417, 0.492, 0.33, 
0.263, 0.43, 0.053, 0.28, 0.675, 
0.1, 0.149, 0.122, 0.121, 0.357, 
0.053, 0.899, 0.44, 0.772, 0.336, 
0.532, 0.746, 0.069, 0.093, 0.388, 
0.278, 0.816, 0.208, 0.054, 0.479, 
0.766, 0.958, 0.468, 0.396, 0.807, 
0.273, 0.067, 0.865, 0.987, 0.664, 
0.574, 0.333, 0.351, 0.434, 0.231, 
0.934, 0.219, 0.324, 0.724, 0.138, 
0.466, 0.378, 0.287, 0.967, 0.681, 
0.107, 0.32, 0.798, 0.299, 0.8, 
0.014, 0.971, 0.892, 0.525, 0.516, 
0.376, 0.709, 0.985, 0.313, 0.403, 
0.111, 0.675, 0.675, 0.405, 0.012, 
0.694, 0.428, 0.692, 0.17, 0.398, 
0.229, 0.675, 0.609, 0.163, 0.29, 
0.536, 0.8, 0.405, 0.495, 0.751, 
0.235, 0.025, 0.794, 0.845, 0.583, 
0.028, 0.952, 0.328, 0.609, 0.66, 
0.86, 0.925, 0.62, 0.903, 0.397, 
0.633, 0.737, 0.31, 0.984, 0.38, 
0.828, 0.386, 0.502, 0.907, 0.524, 
0.387, 0.648, 0.261, 0.499, 0.589, 
0.463, 0.601, 0.567, 0.779, 0.36, 
0.39, 0.633, 0.816, 0.057, 0.674, 
0.964, 0.124, 0.197, 0.159, 0.912, 
0.803, 0.566, 0.363, 0.223, 0.693, 
0.564, 0.359, 0.391, 0.273, 0.712, 
0.826, 0.802, 0.003, 0.462, 0.863, 
0.274, 0.664, 0.163, 0.572, 0.209, 
0.752, 0.611, 0.876, 0.72, 0.811, 
0.118, 0.672, 0.198, 0.223, 0.971, 
0.121, 0.275, 0.937, 0.158, 0.001, 
0.366, 0.577, 0.758, 0.275, 0.252, 
0.987, 0.57, 0.184, 0.002, 0.987, 
0.926, 0.044, 0.205, 0.049, 0.768, 
0.024, 0.807, 0.421, 0.6, 0.257, 
0.341, 0.645, 0.039, 0.64, 0.775, 
0.061, 0.527, 0.203, 0.351, 0.806, 
0.851, 0.325, 0.102, 0.65, 0.392, 
0.69, 0.315, 0.095, 0.101, 0.869, 
0.189, 0.106, 0.767, 0.957, 0.027, 
0.566, 0.536, 0.381, 0.514, 0.221, 
0.616, 0.467, 0.647, 0.821, 0.733, 
0.5, 0.358, 0.767, 0.367, 0.318, 
0.666, 0.788, 0.711, 0.174, 0.798, 
0.393, 0.146, 0.146, 0.443, 0.269, 
0.64, 0.601, 0.163, 0.617, 0.801, 
0.738, 0.526, 0.911, 0.266, 0.899, 
0.754, 0.445, 0.804, 0.66, 0.912, 
0.716, 0.655, 0.235, 0.884, 0.796, 
0.693, 0.288, 0.87, 0.667, 0.809, 
0.219, 0.863, 0.846, 0.698, 0.869, 
0.086, 0.359, 0.531, 0.165, 0.228, 
0.335, 0.845, 0.204, 0.676, 0.957, 
0.838, 0.435, 0.383, 0.576, 0.54, 
0.435, 0.758, 0.418, 0.341, 0.732, 
0.258, 0.557, 0.633, 0.459, 0.425, 
0.634, 0.53, 0.502, 0.673, 0.768, 
0.586, 0.834, 0.042, 0.154, 0.502, 
0.943, 0.423, 0.333, 0.338, 0.153, 
0.27, 0.448, 0.909, 0.675, 0.296, 
0.956, 0.126, 0.607, 0.931, 0.118, 
0.407, 0.873, 0.654, 0.018, 0.241, 
0.085, 0.988, 0.522, 0.337, 0.358, 
0.876, 0.248, 0.113, 0.233, 0.232, 
0.785, 0.522, 0.152, 0.526, 0.706, 
0.952, 0.835, 0.988, 0.303, 0.446, 
0.908, 0.127, 0.881, 0.028, 0.442, 
0.292, 0.88, 0.478, 0.441, 0.984, 
0.402, 0.503, 0.408, 0.03, 0.803, 
0.702, 0.723, 0.552, 0.861, 0.44, 
0.401, 0.464, 0.785, 0.638, 0.377, 
0.047, 0.807, 0.984, 0.481, 0.629, 
0.315, 0.729, 0.951, 0.706, 0.208, 
0.869, 0.187, 0.828, 0.249, 0.257, 
0.284, 0.362, 0.494, 0.331, 0.115, 
0.145, 0.356, 0.946, 0.901, 0.589, 
0.44, 0.422, 0.964, 0.898, 0.869, 
0.21, 0.728, 0.003, 0.316, 0.193, 
0.234, 0.115, 0.683, 0.351, 0.29, 
0.674, 0.049, 0.274, 0.77, 0.642, 
0.337, 0.225, 0.85, 0.17, 0.797, 
0.563, 0.109, 0.579, 0.701, 0.163, 
0.724, 0.074, 0.145, 0.611, 0.457, 
